240001917	1785	138	0	2962	0
240002419	2674	97	0	2114	0
240005310	2346	252	1	2286	0
240006785	3359	766	1	759	0
240007113	2820	809	1	1255	0
240008207	1707	35	0	3143	0
240008383	2082	0	0	2803	0
240009037	1764	3089	0	32	0
240009941	1946	1131	0	1808	0
240011753	3006	380	0	1499	0
240012198	2924	0	0	1961	0
240015308	1683	467	1	2734	0
240019977	1683	3168	0	34	0
240023786	2494	1351	0	1040	0
240023865	2518	885	0	1482	0
240025977	3135	954	0	796	0
240028895	1527	3	0	3355	0
240039068	2537	0	0	2348	0
240039840	2377	173	0	2335	0
240040098	2025	25	0	2835	0
240045908	1955	1738	0	1192	0
240046468	1571	20	0	3294	0
240046659	1442	1	0	3442	0
240048022	2857	1170	0	858	0
240048298	1799	256	0	2830	0
240048721	1720	18	0	3147	0
240051340	2299	757	0	1829	0
240052604	1995	936	0	1954	0
240054681	2307	0	0	2578	0
240055089	1545	3021	0	319	0
240055179	1774	9	0	3102	0
240055553	3112	739	0	1034	0
240056299	2060	1231	0	1594	0
240059486	1598	0	0	3287	0
240060057	2167	640	0	2078	0
240060328	2909	307	0	1669	0
240061635	2250	2480	0	155	0
240062123	2733	791	1	1360	0
240064136	3059	328	1	1497	0
240064538	1505	1098	1	2281	0
240065644	2577	1017	1	1290	0
240065878	1966	1384	1	1534	0
240067260	2076	1355	1	1453	0
240070068	2006	17	0	2862	0
240070187	2580	958	1	1346	0
240074981	2516	1028	0	1341	0
240077023	2680	465	0	1740	0
240077669	2682	448	0	1755	0
240080706	1959	41	0	2885	0
240084496	2289	45	0	2551	0
240087172	2809	34	0	2042	0
240088977	2154	3	0	2728	0
240094975	1808	1910	1	1166	0
240102885	1633	762	0	2490	0
240103234	2891	800	1	1193	0
240103855	3013	262	0	1610	0
240108543	1741	1444	1	1699	0
240112465	2456	1666	2	761	0
240113513	1572	399	0	2914	0
240114540	2752	386	1	1746	0
240115759	1558	2238	2	1087	0
240115808	1549	4	0	3332	0
240117637	2291	1438	2	1154	0
240118068	2137	830	1	1917	0
240121383	1398	675	1	2811	0
240122305	2059	1121	1	1704	0
240124190	2820	437	1	1627	0
240126276	2075	1252	2	1556	0
240127293	1714	303	0	2868	0
240128286	2320	228	0	2337	0
240129249	2216	752	1	1916	0
240129497	2058	251	0	2576	0
240130042	1730	606	1	2548	0
240132039	2583	665	1	1636	0
240132968	2718	1546	2	619	0
240133137	1864	425	0	2596	0
240133472	2776	985	1	1123	0
240134191	2118	403	0	2364	0
240135772	2569	23	0	2293	0
240136882	2795	3	0	2087	0
240137149	1769	275	0	2841	0
240137682	1861	606	1	2417	0
240137811	2701	583	0	1601	0
240140575	1916	1344	1	1624	0
240140986	1451	1464	1	1969	0
240144965	1970	611	1	2303	0
240145409	1934	5	0	2946	0
240146525	1776	1702	1	1406	0
240147503	2030	2180	2	673	0
240154534	2329	1	0	2555	0
240157086	2964	152	0	1769	0
240158050	2009	486	0	2390	0
240158598	2011	519	0	2355	0
240159166	2103	1671	1	1110	0
240160122	3030	693	1	1161	0
240161721	2440	606	1	1838	0
240166205	1691	874	1	2319	0
240167654	2004	1023	1	1857	0
240170796	1582	1245	1	2057	0
240170977	1950	17	0	2918	0
240171208	2905	635	1	1344	0
240171517	2453	889	1	1542	0
240173483	1917	686	2	2280	0
240173998	1448	1312	0	2125	0
240174115	2180	996	1	1708	0
240174291	1736	2285	1	863	0
240175006	1866	1081	1	1937	0
240176320	2054	900	1	1930	0
240176742	2800	769	0	1316	0
240177781	2545	1009	0	1331	0
240178595	2513	1047	0	1325	0
240181748	2759	777	0	1349	0
240181801	3006	72	0	1807	0
240183949	3040	872	0	973	0
240184328	2791	361	1	1732	0
240185283	2008	4	0	2873	0
240187633	1739	2203	0	943	0
240188406	2064	694	1	2126	0
240190181	2667	471	1	1746	0
240190935	2680	158	0	2047	0
240191225	2305	191	0	2389	0
240191654	2408	495	1	1981	0
240195776	2302	529	1	2053	0
240205302	1737	30	0	3118	0
240206985	1882	1112	1	1890	0
